@RELATION stars

@ATTRIBUTE object_id STRING
@ATTRIBUTE spectral_class NUMERIC
@ATTRIBUTE luminosity_class NUMERIC
@ATTRIBUTE motion_type NUMERIC
@ATTRIBUTE v_magnitude NUMERIC
@ATTRIBUTE parallax NUMERIC
@ATTRIBUTE pm_ra NUMERIC
@ATTRIBUTE pm_dec NUMERIC
@ATTRIBUTE radial_velocity NUMERIC
@ATTRIBUTE ra_degrees NUMERIC
@ATTRIBUTE dec_degrees NUMERIC
@ATTRIBUTE b_magnitude NUMERIC
@ATTRIBUTE r_magnitude NUMERIC
@ATTRIBUTE g_magnitude NUMERIC
@ATTRIBUTE j_magnitude NUMERIC
@ATTRIBUTE h_magnitude NUMERIC
@ATTRIBUTE k_magnitude NUMERIC
@ATTRIBUTE i_magnitude NUMERIC
@ATTRIBUTE distance_pc NUMERIC

@DATA
'HD 81847','A','V','Normal',8.32,2.8047,-18.314,11.589,25.0,141.614343,-51.174508,8.25,?,?,8.342,8.435,8.377,?,356.54
'HR 1287','F','IV','Normal',5.387,15.4199,-30.919,-35.105,17.43,62.707754,26.480955,5.715,?,?,4.883,4.683,4.482,?,64.85
'HIP 90392','A','V','Normal',9.295,3.8168,3.46,1.586,-29.47,276.658122,6.541288,9.456,9.309,9.772,8.501,8.351,8.386,9.041,262.0
'HIP 2034','B','V','Normal',8.45,1.6013,5.498,-2.545,?,6.457005,49.657076,8.38,?,?,8.432,8.474,8.484,?,624.49
'HD 115605','F','V','High_Proper_Motion',9.3,5.5136,-46.554,-19.502,-6.89,199.403863,37.53886,9.73,?,?,8.397,8.229,8.167,?,181.37
'HR 3691','B','III','Normal',5.993,5.5387,-17.057,1.321,16.0,138.823495,-58.388378,5.894,?,?,6.208,6.251,6.248,?,180.55
'HR 6142','B','I','Normal',5.39,0.7734,-3.315,-2.173,-14.0,247.924037,-41.817148,5.78,?,?,4.37,4.24,4.13,?,1292.99
'HD 171794','K','III','Normal',9.23,1.0578,-1.843,-3.642,?,279.972588,-55.29724,10.69,?,?,6.873,6.209,6.039,?,945.36
'HD 143765','G','V','Normal',9.15,14.1943,-10.975,-39.958,-21.62,240.756674,-19.998259,9.87,?,?,7.866,7.507,7.433,?,70.45
'HD 96682','G','III','Normal',9.12,3.7168,-25.554,-0.201,?,167.081797,3.194732,10.15,?,?,7.297,6.797,6.643,?,269.05
'HIP 14965','F','V','Normal',9.16,9.7093,-6.276,1.922,23.02,48.229813,-18.438622,9.65,?,?,8.16,7.89,7.835,?,102.99
'HR 2973','K','III','Normal',4.29,27.121,61.692,-229.213,44.15,115.828032,28.883509,5.41,?,?,2.35,1.799,1.65,?,36.87
'HIP 75083','F','V','Normal',9.26,5.2682,25.257,-50.495,12.33,230.147222,40.493045,9.73,?,?,8.409,8.237,8.161,?,189.82
'HIP 52892','G','V','Normal',10.48,4.4394,-31.865,-5.773,?,162.25812,67.214529,11.0,?,?,9.439,9.174,9.091,?,225.26
'HD 299501','A','V','Normal',10.83,1.7404,-4.942,-0.292,?,163.901165,-53.430225,11.1,?,?,10.476,10.415,10.35,?,574.58
