object_id,spectral_class,v_magnitude,parallax,pm_ra,pm_dec,radial_velocity,ra_degrees,dec_degrees,b_magnitude,r_magnitude,g_magnitude,j_magnitude,h_magnitude,k_magnitude,i_magnitude,distance_pc,luminosity_class_I,luminosity_class_II,luminosity_class_III,luminosity_class_IV,luminosity_class_V,motion_type_High_Proper_Motion,motion_type_Normal
HR 6005,K,-1.3049707201268979,-0.12018780138574282,-0.1289445941077271,-0.3109005088653503,1.9114847336520437,0.5884944062505509,0.6355582927351056,-0.8668680401945026,-0.022311163280707983,-0.031096782676706108,-1.6920144262518577,-1.7135328265386387,-1.7521852584773363,-0.005871811388851725,-0.25481135862915993,0,0,1,0,0,0,1
HIP 95011,K,0.45223052862495383,-0.39132056542305976,0.03237586359518103,0.08547972727631963,-0.42144520569859295,1.0590606645504146,0.7144263266231523,0.9769031024377507,-0.022311163280707983,-0.031096782676706108,-0.3931286120867241,-0.5610134940509053,-0.613680738715006,-0.005871811388851725,0.11933148395524622,0,0,0,0,1,0,1
HIP 18267,G,-0.9072258428756342,3.3248984743359404,1.494002781429513,-1.6074565016963953,0.6401842474369096,-1.2021073893977705,0.5053488830202744,-0.8491961123098483,-0.022311163280707983,-0.031096782676706108,-0.8351948899606829,-0.7583882623271446,-0.7549048192976873,-0.005871811388851725,-0.44168095268669144,0,0,0,0,1,1,0
HIP 29710,A,-0.09986310696262107,-0.35367445542471265,0.007340299980007554,0.40090064594779506,-0.008235093979677902,-0.8575737644358224,-0.7238393375712446,-0.4486324135910198,-0.022311163280707983,-0.031096782676706108,0.49808509685368274,0.5961719086088434,0.6041476964395446,-0.005871811388851725,0.0034378007571995556,0,0,0,0,1,0,1
HR 7698,A,-1.303783421985849,0.5122890193058807,0.1304681303932345,0.24729155572928094,0.08304740962095931,1.2177210978591024,-1.993669761943599,-1.5490044565421537,-0.022311163280707983,-0.031096782676706108,-0.6783979264127115,-0.503154223917918,-0.4715396186480213,-0.005871811388851725,-0.38052730058122064,0,0,0,0,1,0,1
HIP 102486,K,-0.2838943188251459,1.809591074518166,0.8762136423025603,-2.8321958123810567,-0.008235093979677902,1.269628922802533,-0.45402318985744955,-0.11286578378259124,-0.022311163280707983,-0.031096782676706108,-0.4614111607285827,-0.514819399347956,-0.5261034679640576,-0.005871811388851725,-0.4269027140590768,0,0,0,1,0,1,0
HIP 10495,K,-0.6163377983187397,-0.15274210475200384,-0.18623710644932664,0.06380869097723986,0.03392209279771562,-1.4443326314063845,1.0693731179720014,-0.43096048570636597,-0.022311163280707983,-0.031096782676706108,-0.7087457258090929,-0.7131273816585982,-0.7007994897238027,-0.005871811388851725,-0.2373308775817765,0,0,1,0,0,0,1
HIP 118065,A,0.5887698148455371,-0.2967222418975541,0.036682980530972645,0.0251340618796707,-0.008235093979677902,1.7359382878427922,1.074385176441354,0.33482305596198225,-0.022311163280707983,-0.031096782676706108,0.950267307859769,1.0035198346257628,1.0090206287593748,-0.005871811388851725,-0.1046406834093999,0,0,0,0,1,0,1
HR 2736,K,-2.72616659496201,1.394961221864937,0.13330382761298454,1.34125700320747,0.08026015760261924,-0.7274479006039606,-1.673268321130294,-2.478547863274964,-0.022311163280707983,-0.031096782676706108,-2.5665368455242548,-2.3597835453627325,-2.3239593769403353,-0.005871811388851725,-0.4188296246722159,0,0,1,0,0,1,0
HIP 89727,B,0.7609280452975762,-0.48112799779395876,-0.022088094340824038,0.17055109451248046,-0.008235093979677902,0.9092954447474779,-0.5201526315187359,0.45263590852634306,-0.022311163280707983,-0.031096782676706108,1.105546881437922,1.165432469594687,1.155746946247875,-0.005871811388851725,0.9619041255881042,0,1,0,0,0,0,1
HIP 8901,K,0.2741358074676722,-0.4466256626524362,-0.1504373219017519,0.2124833214765944,-1.5429657365781775,-1.4948909397216121,1.3175340090196495,0.8649808925016068,-0.022311163280707983,-0.031096782676706108,-0.5453734057252387,-0.7219929149854271,-0.7769137669209623,-0.005871811388851725,0.45315373010194193,0,0,0,0,1,0,1
HIP 90049,F,0.3691196587515561,0.11645054633840624,-0.0735663559598127,0.14504570531474636,1.1746049813033883,0.9186516053881075,-1.5633809386212947,0.3053698428208915,-0.022311163280707983,-0.031096782676706108,0.48392279046870484,0.48558604553208473,0.46750881327837884,-0.005871811388851725,-0.3300704919133404,0,0,0,0,1,0,1
HIP 108981,A,1.062501773123908,-0.4807637316896416,-0.018809542643430426,0.1825775049968392,-0.6653297573033489,1.4614933717617413,1.2508830145757315,0.754236811091108,4.821162121584708,-0.08516389691967664,1.3442829033561237,1.3768054483869723,1.3666660276375935,7.14315745414811,0.9536067837182749,0,0,0,0,1,0,1
HR 3216,G,-1.6605665133709377,0.3502935476533385,0.1960463071552624,0.3505200258281503,0.1514040685577449,-0.5544952622694987,1.9843743910956988,-1.4906870945227952,-0.022311163280707983,-0.031096782676706108,-1.521560952975514,-1.4387012934069485,-1.4486451891730017,-0.005871811388851725,-0.3652781317393724,0,0,1,0,0,0,1
HD 84107,K,-1.6130745877289958,1.0363016480228808,-0.156451571420718,-0.9113452198863785,0.5262204805370301,-0.34922983594182627,0.8394233595857791,-1.912457106703208,-0.022311163280707983,-0.031096782676706108,-0.8301369233946194,-0.6011416975302354,-0.5719554421792137,-0.005871811388851725,-0.4084243094624842,0,0,0,0,1,1,0
HD 81775,G,0.13759652124708882,-0.3088538869369878,-0.12900173662097145,-0.061389873585506814,0.08444103563012935,-0.3852914756029824,1.0563864911972602,0.4172920527570344,-0.022311163280707983,-0.031096782676706108,-0.14882882694585223,-0.23065572587223548,-0.23998714886148215,-0.005871811388851725,-0.08601651469887787,0,0,0,0,1,0,1
HR 2273,B,-1.8321310947524534,-0.33237280715051126,-0.07401635325161182,0.16564867673954917,0.9930851936089914,-0.8472471198514147,-0.10583342678893917,-2.304773905742531,-0.022311163280707983,-0.031096782676706108,-0.6981239960203593,-0.46115959236978205,-0.3949668217087104,-0.005871811388851725,-0.043823410028381575,0,0,0,0,1,0,1
HD 287359,G,1.912607242114669,-0.29174129886243416,-0.034538019413933134,0.06480199131031744,-0.7698517079911014,-1.0357308337639717,0.426012664541307,1.654327004682827,-0.022311163280707983,-0.031096782676706108,1.5845363152441447,1.5111882693410068,1.4840470816283937,-0.005871811388851725,-0.11177191236779366,0,0,0,0,1,0,1
HR 7034,F,-1.210580517913538,0.5479237469021285,0.18381066650681951,-0.29641754917015456,-2.0485035714046074,0.9708113793230848,-0.08070526130614014,-1.3127896871506095,-0.022311163280707983,-0.031096782676706108,-0.8245731601719495,-0.6790650694028878,-0.6971313317865901,-0.005871811388851725,-0.383274393497583,0,0,0,0,1,0,1
HD 29370,K,0.5887698148455371,-0.3962223201746325,-0.06911638274091025,0.16259401119911704,-0.0695546383831594,-1.1014485731051227,-0.9605909895311189,0.853199607245171,-0.022311163280707983,-0.031096782676706108,0.27098239803742696,0.16736005980065413,0.15158871093595247,-0.005871811388851725,0.13878538685275119,0,1,0,0,0,0,1
HD 354597,G,0.9390227664548588,-0.45424357552967853,-0.07538063075532027,-0.19285797896025936,-1.415797363241412,1.1578764252531788,0.4310972977493406,0.8649808925016068,-0.022311163280707983,-0.031096782676706108,0.8703514361159643,0.8164104207279567,0.8150667778292638,-0.005871811388851725,0.531597248644273,0,0,0,0,1,0,1
HD 3848,F,0.9924511828020435,-0.35494146796146814,0.1304895588357011,0.20501754800539837,0.13391475895566554,-1.674605106785347,-0.17238283660552317,0.9115169692645299,3.4988410219724595,-0.58258134795498,1.118697594509687,1.0539133924835262,1.0415755304521357,5.0481810519864005,0.006588548142904969,0,0,0,0,1,0,1
HR 3026,K,-1.2046440272082952,-0.5180534944120261,-0.04981649889263672,0.21918008823831103,1.6822332551435732,-0.6324225840173799,-0.31009762969383486,-0.5222654464437455,-0.022311163280707983,-0.031096782676706108,-1.6636898134819016,-1.7587937072071853,-1.8062905880512208,-0.005871811388851725,3.042597150937556,1,0,0,0,0,0,1
HD 311279,K,0.8855943501076743,-0.4311443532189552,-0.029902333026986604,0.09910823507209379,0.18164644976973923,-0.40900750717906614,-1.6527700838594217,1.2714352338486536,-0.022311163280707983,-0.031096782676706108,0.3686011527624548,0.22008665274442474,0.18872881005022885,-0.005871811388851725,0.3265519908421562,0,0,0,0,1,0,1
HD 331660,K,0.7549915545923336,-0.45220843664251503,-0.01121673119608965,0.20237942776593423,0.41786605832405993,1.1581803452596995,0.899201061118025,1.0947159550021115,-0.022311163280707983,-0.031096782676706108,0.19865347614271753,0.049308484448671676,0.017242426485544516,-0.005871811388851725,0.5093626149579605,0,0,0,0,1,0,1
HR 7787,A,-1.601795255389035,0.28573134007729245,-0.12876602375383855,0.3264565242106901,0.07329202755676908,1.2152070317708836,-0.9711275311409394,-1.8506053591069185,-0.022311163280707983,-0.031096782676706108,-0.9049948285723607,-0.7177934518306133,-0.7030920884345608,-0.005871811388851725,-0.3575414210769641,0,0,0,0,1,0,1
HD 44972,B,-0.8894163707599059,-0.2895636210648857,-0.07213779312870437,0.2988150052644021,-0.008235093979677902,-0.8407157666233985,-1.0595943119710578,-1.3322288078237294,-0.022311163280707983,-0.031096782676706108,-0.017827492884804695,0.16456041769744498,0.1914799285031383,-0.005871811388851725,-0.11479932088786646,0,0,0,1,0,0,1
